clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,screened,314,50.0,7,3,0.42857142857142855,0.5314285714285714,0.20382165605095542,0.20382165605095542,0.5222929936305732,0.47770700636942676,1,torque_limited,0.06
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,screened,115,50.0,3,0,0.0,0.0,0.1565217391304348,0.1565217391304348,0.8173913043478261,0.0,1,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D15_-_switch_stance_poses_120_jpos,screened,153,50.0,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D16_-_switch_stance_and_bounce_poses_120_jpos,screened,245,50.0,5,5,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_Male2MartialArtsStances_c3d_D5_-_ready_to_walk_away_poses_120_jpos,screened,223,50.0,5,3,0.6,0.6799999999999999,0.013452914798206279,0.013452914798206279,0.23766816143497757,0.7623318385650224,1,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E16_-_block_right_middle_poses_120_jpos,screened,125,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E17_-_block_middle_high_poses_120_jpos,screened,127,50.0,3,3,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E1_-_Turn_around_right_poses_120_jpos,screened,718,50.0,15,15,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E2_-_Turn_around_left_poses_120_jpos,screened,654,50.0,14,14,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
ACCAD_MartialArtsWalksTurns_c3d_E3_-_advance_poses_120_jpos,screened,318,50.0,7,4,0.5714285714285714,0.7114285714285714,0.0031446540880503146,0.0031446540880503146,0.31761006289308175,0.6823899371069182,1,torque_limited,0.06
BMLhandball_S02_Novice_Trial_upper_left_012_poses_120_jpos,screened,338,50.0,7,7,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_061_poses_120_jpos,screened,265,50.0,6,6,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_right_007_poses_120_jpos,screened,347,50.0,7,3,0.42857142857142855,0.4428571428571429,0.069164265129683,0.069164265129683,0.521613832853026,0.44668587896253603,4,torque_limited,0.06
BMLhandball_S05_Novice_Trial_upper_left_right_013_poses_120_jpos,screened,345,50.0,7,4,0.5714285714285714,0.7057142857142856,0.008695652173913044,0.008695652173913044,0.2985507246376812,0.7014492753623188,1,torque_limited,0.06
BMLhandball_S06_Novice_Trial_upper_left_right_123_poses_120_jpos,screened,543,50.0,11,7,0.6363636363636364,0.7545454545454546,0.06445672191528545,0.06445672191528545,0.24861878453038674,0.7513812154696132,1,torque_limited,0.06
BMLhandball_S06_Novice_Trial_upper_right_217_poses_120_jpos,screened,411,50.0,9,6,0.6666666666666666,0.7533333333333334,0.0267639902676399,0.0267639902676399,0.27007299270072993,0.7299270072992701,1,torque_limited,0.06
BMLhandball_S07_Expert_Trial_upper_left_082_poses_120_jpos,screened,441,50.0,9,6,0.6666666666666666,0.7488888888888889,0.022675736961451247,0.022675736961451247,0.2562358276643991,0.7437641723356009,2,torque_limited,0.06
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,screened,666,50.0,14,11,0.7857142857142857,0.8014285714285715,0.012012012012012012,0.012012012012012012,0.2087087087087087,0.7912912912912913,3,torque_limited,0.06
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,screened,582,50.0,12,6,0.5,0.5316666666666666,0.19072164948453607,0.19072164948453607,0.48281786941580757,0.5171821305841925,4,torque_limited,0.06
BMLhandball_S08_Novice_Trial_upper_left_056_poses_120_jpos,screened,668,50.0,14,14,1.0,1.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06
BMLhandball_S08_Novice_Trial_upper_left_082_poses_120_jpos,screened,648,50.0,13,10,0.7692307692307693,0.8307692307692308,0.015432098765432098,0.015432098765432098,0.1697530864197531,0.8302469135802469,1,torque_limited,0.06
BMLhandball_S08_Novice_Trial_upper_right_086_poses_120_jpos,screened,679,50.0,14,11,0.7857142857142857,0.8442857142857143,0.013254786450662739,0.013254786450662739,0.16053019145802652,0.8394698085419735,1,torque_limited,0.06
BMLhandball_S08_Novice_Trial_upper_right_left_090_poses_120_jpos,screened,664,50.0,14,9,0.6428571428571429,0.6785714285714286,0.05120481927710843,0.05120481927710843,0.338855421686747,0.661144578313253,3,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_left_188_poses_120_jpos,screened,440,50.0,9,6,0.6666666666666666,0.7666666666666667,0.011363636363636364,0.011363636363636364,0.23863636363636365,0.7613636363636364,1,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_left_209_poses_120_jpos,screened,415,50.0,9,5,0.5555555555555556,0.6288888888888889,0.012048192771084338,0.012048192771084338,0.25783132530120484,0.6819277108433734,2,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_left_219_poses_120_jpos,screened,420,50.0,9,5,0.5555555555555556,0.6133333333333333,0.01904761904761905,0.01904761904761905,0.2571428571428571,0.6571428571428571,1,torque_limited,0.06
BMLhandball_S09_Novice_Trial_upper_left_right_087_poses_120_jpos,screened,523,50.0,11,1,0.09090909090909091,0.23090909090909092,0.08221797323135756,0.08221797323135756,0.6711281070745698,0.24282982791587,5,torque_limited,0.06
